 [2020-04-15 14 : 47 : 29] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 28

**********

[2020-04-15 14 : 50 : 00] Текст ошибки: require(PHPMailerAutoload.php): failed to open stream: No such file or directory | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 28

**********

[2020-04-15 14 : 50 : 28] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 29

**********

[2020-04-15 14 : 50 : 29] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 29

**********

[2020-04-15 14 : 50 : 30] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 29

**********

[2020-04-15 14 : 50 : 30] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 29

**********

[2020-04-15 14 : 50 : 30] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 29

**********

[2020-04-15 14 : 50 : 30] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 29

**********

[2020-04-15 14 : 51 : 40] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 30

**********

[2020-04-15 14 : 53 : 41] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 31

**********

[2020-04-15 14 : 54 : 15] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 32

**********

[2020-04-15 14 : 55 : 05] Текст ошибки: require(vendor/autoload.php): failed to open stream: No such file or directory | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 31

**********

[2020-04-15 14 : 55 : 29] Текст ошибки: Undefined variable: mailer | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 35

**********

[2020-04-15 14 : 55 : 32] Текст ошибки: Undefined variable: mailer | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 35

**********

[2020-04-17 13 : 12 : 40] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 13 : 20] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 13 : 21] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 13 : 51] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

